"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_1301000","rifin, pseudogene","N/A","N/A","N/A","PF3D7_1301000.1"
"PF3D7_1301200","GBPH2 protein","IDA","PMID:7891744","N/A","PF3D7_1301200.1"
"PF3D7_1301400","Plasmodium exported protein (hyp12), unknown function","IDA","PMID:25956941","N/A","PF3D7_1301400.1"
"PF3D7_1301700","CX3CL1-binding protein 2","IDA","PMID:27653778","N/A","PF3D7_1301700.1"
"PF3D7_1302000","EMP1-trafficking protein","IDA","PMID:18614010","N/A","PF3D7_1302000.1"
"PF3D7_1316200","ADP-ribosylation factor, putative","ISS","PMID:33604307","Pfam:PF00025|UniProt:P84077","PF3D7_1316200.1"
"PF3D7_1339900","ABC transporter B family member 5, putative","ISM","N/A","InterPro:IPR001140","PF3D7_1339900.1"
"PF3D7_1353100","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1353100.1"
"PF3D7_1360000","ATP synthase-associated protein, putative","ISO","PMID:30005062","UniProt:A0A125YIW7","PF3D7_1360000.1"
"PF3D7_1371700","serine/threonine protein kinase, FIKK family","IDA","PMID:32284562","N/A","PF3D7_1371700.1"
"PF3D7_1400400","rifin","IDA","PMID:25751816","N/A","PF3D7_1400400.1"
"PF3D7_1400500","rifin","IDA","PMID:10430943","N/A","PF3D7_1400500.1"
"PF3D7_1400600","rifin","IDA","PMID:25751816","N/A","PF3D7_1400600.1"
"PF3D7_1400700","stevor","N/A","N/A","N/A","PF3D7_1400700.1"
"PF3D7_1400800","rifin","IDA","PMID:10430943","N/A","PF3D7_1400800.1"
"PF3D7_1401000","GBPH protein","IDA","PMID:1775169","N/A","PF3D7_1401000.1"
"PF3D7_1401200","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1401200.1"
"PF3D7_1401300","epoxide hydrolase 2","IDA","PMID:27795395","N/A","PF3D7_1401300.1"
"PF3D7_1401600","Plasmodium exported protein (PHISTb), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_1401600.1"
"PF3D7_1463900","rhoptry neck protein 11, putative","ISO","PMID:31247198","GeneDB:PBANKA_1327100","PF3D7_1463900.1"
